Product,Brand,Category,Style,Volume(ml),Package,ABV,"Units of Alchole",Units_per(ml)
"Tiny Rebel Dirty Stop Out","Tiny Rebel",Beer,Stout,330,bottle,4.6,1.5,0.46
"Tiny Rebel Dutty","Tiny Rebel",Beer,IPA,568,draught,4.2,2.4,0.42
"Tiny Rebel Dutty","Tiny Rebel",Beer,IPA,330,can,4.2,1.4,0.42
"Tiny Rebel Frambuzi","Tiny Rebel",Beer,"Sour Beer",330,can,4.3,1.4,0.43
"Tiny Rebel Fubar","Tiny Rebel",Beer,"Pale Ale",330,bottle,4.4,1.5,0.44
"Tiny Rebel Stay Puft","Tiny Rebel",Beer,Porter,330,can,5.2,1.7,0.52
"Toast Purebread Pale Ale",Toast,Beer,"Pale Ale",330,bottle,5,1.7,0.5
Tribute,"St Austell",Beer,Beer,568,draught,4.2,2.4,0.42
Tsingtao,Tsingtao,Beer,Lager,330,bottle,4.7,1.6,0.47
Tuborg,Tuborg,Beer,Lager,568,draught,4,2.3,0.4
"Two Fingers Aurelio","Two Fingers",Beer,"Golden Ale",330,bottle,4.8,1.6,0.48
"Two Tribes Material World American Pale Ale","Two Tribes",Beer,"Pale Ale",330,can,5.5,1.8,0.55
"Two Tribes New Romantic Passion Fruit Gose","Two Tribes",Beer,Gose,330,can,3.6,1.2,0.36
"Two Tribes Non Stop Hits Modern Lager","Two Tribes",Beer,Lager,330,can,5,1.7,0.5
"Tyskie Gronie",Tyskie,Beer,Lager,500,bottle,5,2.5,0.5
Union,Butcombe,Beer,Ale,568,draught,4.8,2.7,0.48
"Vedett Blond",Vedett,Beer,Lager,330,bottle,5,1.7,0.5
"Vedett Blond",Vedett,Beer,Lager,330,can,5.2,1.7,0.52
"Vedett Extra Blonde",Vedett,Beer,Lager,568,draught,5,2.8,0.5
"Vedett Extra Ordinary IPA",Vedett,Beer,IPA,568,draught,5.5,3.1,0.55
"Vedett Extra White",Vedett,Beer,"Wheat Beer",568,draught,4.7,2.7,0.47
"Vedett Extra White",Vedett,Beer,"Wheat Beer",330,bottle,4.7,1.6,0.47
"Vedett IPA",Vedett,Beer,IPA,330,bottle,5.5,1.8,0.55
"Vedett IPA",Vedett,Beer,IPA,330,can,5.5,1.8,0.55
"Vedett Session IPA",Vedett,Beer,IPA,330,bottle,2.7,0.9,0.27
"Vic Ale Mumbai IPA","Vic Ale",Beer,IPA,330,bottle,6.2,2,0.62
"Waddlegoose Cyder",Waddlegoose,Cider,NULL,568,draught,4.6,2.6,0.46
"Waddlegoose Cyder",Waddlegoose,Cider,NULL,500,bottle,4.6,2.3,0.46
"Waddlegoose Three Berry",Waddlegoose,Cider,"Fruit Cider",568,draught,3.8,2.2,0.38
"Waddlegoose Three Berry",Waddlegoose,Cider,"Fruit Cider",500,bottle,3.8,1.9,0.38
"Wadworth 6X",Wadworth,Beer,"Amber Ale",568,draught,4.1,2.3,0.41
"Wadworth 6X",Wadworth,Beer,"Amber Ale",500,bottle,4.3,2.2,0.43
"Wadworth 6X Gold",Wadworth,Beer,"Golden Ale",500,bottle,4.5,2.3,0.45
"Wadworth Big Baubles",Wadworth,Beer,"Pale Ale",568,draught,4.9,2.8,0.49
"Wadworth Bishops Tipple",Wadworth,Beer,Ale,568,draught,5,2.8,0.5
"Wadworth Bishops Tipple",Wadworth,Beer,Ale,500,bottle,5,2.5,0.5
"Wadworth Brewer's Strength IPA",Wadworth,Beer,IPA,568,draught,6.2,3.5,0.62
"Wadworth Carrier",Wadworth,Beer,"Pale Ale",500,bottle,3.6,1.8,0.36
"Wadworth Cooper's Vice",Wadworth,Beer,"Red Ale",568,draught,5,2.8,0.5
"Wadworth Corvus",Wadworth,Beer,Stout,568,draught,4.1,2.3,0.41
"Wadworth Dray Bells",Wadworth,Beer,"Amber Ale",568,draught,4.1,2.3,0.41
"Wadworth Farmers Glory",Wadworth,Beer,Ale,568,draught,4.4,2.5,0.44
"Wadworth Game of Stones",Wadworth,Beer,"Golden Ale",568,draught,3.8,2.2,0.38
"Wadworth Horizon",Wadworth,Beer,"Golden Ale",568,draught,4,2.3,0.4
"Wadworth Horizon",Wadworth,Beer,"Golden Ale",500,bottle,4,2,0.4
"Wadworth IPA",Wadworth,Beer,IPA,568,draught,3.6,2,0.36
"Wadworth IPA",Wadworth,Beer,IPA,500,bottle,3.6,1.8,0.36
"Wadworth Swordfish",Wadworth,Beer,Ale,568,draught,5,2.8,0.5
"Wadworth Swordfish",Wadworth,Beer,Ale,500,bottle,4.3,2.2,0.43
"Wadworth Treacle Treat",Wadworth,Beer,"Dark Ale",568,draught,4.2,2.4,0.42
"Wadworths Dirty Rucker",Wadworth,Beer,Ale,568,draught,3.9,2.2,0.39
"Wadworths Studs Up",Wadworth,Beer,"Pale Ale",568,draught,4,2.3,0.4
Wainwright,Wainwright,Beer,Beer,568,draught,4.1,2.3,0.41
Warsteiner,Warsteiner,Beer,Lager,568,draught,4.8,2.7,0.48
"Westons Caple Rd Blend No 3 Cider",Westons,Cider,NULL,568,draught,5.2,3,0.52
"Westons Caple Rd Blend No 3 Cider",Westons,Cider,NULL,330,can,5.2,1.7,0.52
"Westons Mortimers Orchard Cider",Westons,Cider,NULL,568,draught,5,2.8,0.5
"Westons Mortimers Orchard English Berry",Westons,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Westons Old Rosie",Westons,Cider,NULL,568,draught,7.3,4.1,0.73
"Westons Rosie's Pig",Westons,Cider,NULL,568,draught,4.8,2.7,0.48
"Westons Rosie's Pig Flat Tyre",Westons,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Westons Rosie's Pig Flat Tyre",Westons,Cider,"Fruit Cider",330,can,4,1.3,0.4
"Westons Rosie's Pig Handbrake",Westons,Cider,"Fruit Cider",568,draught,4,2.3,0.4
"Westons Rosie's Pig Handbrake",Westons,Cider,"Fruit Cider",330,can,4,1.3,0.4
"Westons Wyld Wood Organic Cider",Westons,Cider,NULL,568,draught,6,3.4,0.6
"Westons Wyld Wood Organic Cider",Westons,Cider,NULL,500,bottle,6,3,0.6
"Whipstitch Festival Apple Cider",Whipstitch,Cider,NULL,568,draught,4.7,2.7,0.47
"Whipstitch Festival Apple Cider",Whipstitch,Cider,NULL,330,can,4.7,1.6,0.47
"Whipstitch Festival Dark Fruits Cider",Whipstitch,Cider,"Fruit Cider",330,bottle,4.7,1.6,0.47
"Whitbread Best Bitter",Whitbread,Beer,Bitter,568,draught,3.3,1.9,0.33
"Wild Beer Bibble","The Wild Beer Co",Beer,"Pale Ale",330,can,4.2,1.4,0.42
"Wild Beer Fresh","The Wild Beer Co",Beer,Ale,330,can,5.5,1.8,0.55
"Wild Beer Madness IPA","The Wild Beer Co",Beer,IPA,330,can,6.8,2.2,0.68
"Wild Beer Millionaire","The Wild Beer Co",Beer,Stout,330,bottle,4.7,1.6,0.47
"Wild Beer Nebula Hazy IPA","The Wild Beer Co",Beer,IPA,330,can,5,1.7,0.5
"Wild Beer Pogo","The Wild Beer Co",Beer,"Pale Ale",330,can,4,1.3,0.4
"Wild Beer Sleeping Lemons","The Wild Beer Co",Beer,Gose,330,bottle,3.6,1.2,0.36
"Wild Beer Sleeping Limes","The Wild Beer Co",Beer,Gose,330,can,4.6,1.5,0.46
"Wild Beer Yokai","The Wild Beer Co",Beer,IPA,330,can,5,1.7,0.5
"Wild River",Fuller's,Beer,"Pale Ale",568,draught,4.5,2.6,0.45
"Wild River",Fuller's,Beer,"Pale Ale",330,can,4.5,1.5,0.45
"Woodpecker Cider",Woodpecker,Cider,NULL,275,bottle,3.5,1,0.35
"Worthington Creamflow",Worthington,Beer,Bitter,568,draught,3.6,2,0.36
"Wychwood Hoppleganger",Wychwood,Beer,"Blonde Ale",568,draught,4.4,2.5,0.44
"Wylam Club of Slaughters",Wylam,Beer,Stout,330,bottle,8.8,2.9,0.88
"Wylam Haxan",Wylam,Beer,"Wheat Beer",330,bottle,6.2,2,0.62
"Wylam Hickey the Rake",Wylam,Beer,"Pale Ale",330,bottle,4.2,1.4,0.42
"Wylam Jakehead IPA",Wylam,Beer,IPA,330,bottle,6.3,2.1,0.63
"Wylam Le Sasionnier",Wylam,Beer,Saison,330,bottle,5.4,1.8,0.54
"Wylam Remain in Light",Wylam,Beer,"Pale Ale",330,bottle,5,1.7,0.5
"Yeastie Boys Bigmouth","Yeastie Boys",Beer,IPA,330,can,4.4,1.5,0.44
"Yeastie Boys Digital IPA","Yeastie Boys",Beer,IPA,330,can,5.7,1.9,0.57
"Yeastie Boys Gunnamatta","Yeastie Boys",Beer,IPA,330,can,6.5,2.1,0.65
"Yeastie Boys Pot Kettle Black","Yeastie Boys",Beer,Porter,330,can,6,2,0.6
"Yeastie Boys White Noise","Yeastie Boys",Beer,"Wheat Beer",330,can,4.4,1.5,0.44
"Young's Bitter",Young's,Beer,Bitter,568,draught,3.7,2.1,0.37
"Young's London Stout",Young's,Beer,Stout,568,draught,4.3,2.4,0.43
"Zeffer Hopped Infused Cider",Zeffer,Cider,NULL,330,bottle,5.4,1.8,0.54
Zywiec,Zywiec,Beer,Lager,500,bottle,5.6,2.8,0.56
